Dataset,Horizon,Model,MSE,MAE,Source,MSE_Rank,MAE_Rank,BestExistingModel,BestExistingMSE,BestExistingMAE,DeltaVsBestExisting_MSE,DeltaVsBestExisting_MAE
Exchange,96,iTransformer,0.0949,0.221,results_23-01.md,3.0,5.0,PatchTST,0.0918,0.2156,0.0030999999999999917,0.005399999999999988
Exchange,96,WPMixer,0.09718194603919983,0.21765004098415375,result_long_term_forecast.txt,4.0,3.0,PatchTST,0.0918,0.2156,0.0053819460391998225,0.0020500409841537337
Exchange,96,TiDE,0.0987,0.2228,results_23-01.md,5.0,7.0,PatchTST,0.0918,0.2156,0.0068999999999999895,0.007199999999999984
Exchange,96,DLinear,0.099,0.235,results_23-01.md,6.0,9.0,PatchTST,0.0918,0.2156,0.007199999999999998,0.019399999999999973
Exchange,96,PatchFusionBERT_v2,0.0991,0.2209,results_23-01.md,7.0,4.0,PatchTST,0.0918,0.2156,0.007299999999999987,0.005299999999999999
Exchange,96,PatchFusionBERT_v0,0.0997,0.2224,results_23-01.md,8.0,6.0,PatchTST,0.0918,0.2156,0.00789999999999999,0.006799999999999973
Exchange,96,TimeXer,0.105,0.2259,results_23-01.md,9.0,8.0,PatchTST,0.0918,0.2156,0.01319999999999999,0.010299999999999976
Exchange,96,PatchFusionBERT_BERTOnly,0.3683,0.4205,results_23-01.md,10.0,10.0,PatchTST,0.0918,0.2156,0.2765,0.20489999999999997
Exchange,192,PAttn,0.18288829922676086,0.308025062084198,result_long_term_forecast.txt,1.0,1.0,DLinear,0.1867,0.3224,-0.0038117007732391406,-0.014374937915802022
Exchange,192,DLinear,0.1867,0.3224,results_23-01.md,2.0,7.0,DLinear,0.1867,0.3224,0.0,0.0
Exchange,192,PatchFusionBERT_v2,0.1878,0.3108,results_23-01.md,3.0,2.0,DLinear,0.1867,0.3224,0.0010999999999999899,-0.0116
Exchange,192,TimeXer,0.1911,0.3124,results_23-01.md,4.0,4.0,DLinear,0.1867,0.3224,0.004399999999999987,-0.010000000000000009
Exchange,192,PatchTST,0.1913,0.3182,results_23-01.md,5.0,6.0,DLinear,0.1867,0.3224,0.004599999999999993,-0.004200000000000037
Exchange,192,TiDE,0.1925,0.3143,results_23-01.md,6.0,5.0,DLinear,0.1867,0.3224,0.0058,-0.008099999999999996
Exchange,192,WPMixer,0.19261068105697632,0.31147462129592896,result_long_term_forecast.txt,7.0,3.0,DLinear,0.1867,0.3224,0.0059106810569763135,-0.010925378704071065
Exchange,192,iTransformer,0.2138,0.3358,results_23-01.md,8.0,9.0,DLinear,0.1867,0.3224,0.027099999999999985,0.013399999999999967
Exchange,192,PatchFusionBERT_v0,0.2184,0.334,results_23-01.md,9.0,8.0,DLinear,0.1867,0.3224,0.031700000000000006,0.0116
Exchange,192,PatchFusionBERT_BERTOnly,0.5349,0.5258,results_23-01.md,10.0,10.0,DLinear,0.1867,0.3224,0.34820000000000007,0.20340000000000003
Exchange,336,PatchTST,0.3139,0.4092,results_23-01.md,1.0,1.0,PatchTST,0.3139,0.4092,0.0,0.0
Exchange,336,PatchFusionBERT_v2,0.3381,0.4223,results_23-01.md,2.0,2.0,PatchTST,0.3139,0.4092,0.0242,0.0131
Exchange,336,TiDE,0.3422,0.4261,results_23-01.md,3.0,3.0,PatchTST,0.3139,0.4092,0.028299999999999992,0.01689999999999997
Exchange,336,WPMixer,0.3500956594944,0.42700254917144775,result_long_term_forecast.txt,4.0,4.0,PatchTST,0.3139,0.4092,0.03619565949440001,0.017802549171447746
Exchange,336,PAttn,0.35127851366996765,0.4308032691478729,result_long_term_forecast.txt,5.0,5.0,PatchTST,0.3139,0.4092,0.03737851366996764,0.021603269147872917
Exchange,336,PatchFusionBERT_v0,0.3533,0.434,results_23-01.md,6.0,6.0,PatchTST,0.3139,0.4092,0.03939999999999999,0.02479999999999999
Exchange,336,DLinear,0.3744,0.4681,results_23-01.md,7.0,9.0,PatchTST,0.3139,0.4092,0.0605,0.05890000000000001
Exchange,336,iTransformer,0.375,0.4523,results_23-01.md,8.0,8.0,PatchTST,0.3139,0.4092,0.06109999999999999,0.04309999999999997
Exchange,336,TimeXer,0.3792,0.4486,results_23-01.md,9.0,7.0,PatchTST,0.3139,0.4092,0.06529999999999997,0.03939999999999999
Exchange,336,PatchFusionBERT_BERTOnly,0.8461,0.6955,results_23-01.md,10.0,10.0,PatchTST,0.3139,0.4092,0.5322,0.2863
