Dataset,Horizon,Model,Corruption,Missing_Rate,Block_Size,Checkpoint_Folder,Seq_Len,Label_Len,D_Model,E_Layers,Batch_Size,MSE,MAE,RMSE,MAPE,MSPE
ETTm2,192,PFB-Direct,block,0.2,24,long_term_forecast_PFB-Direct_MS2021_ETTm2_192_PFB-Direct_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.37436217069625854,0.4058806300163269,0.6118514537811279,1.1472535133361816,177.32945251464844
ETTm2,192,PFB-Direct,block,0.3,24,long_term_forecast_PFB-Direct_MS2021_ETTm2_192_PFB-Direct_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.5475205183029175,0.49990880489349365,0.7399463057518005,1.1480791568756104,166.88072204589844
ETTm2,192,PFB-Projected,clean,0.0,24,long_term_forecast_PFB-Projected_H192_ETTm2_192_PFB-Projected_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.23469649255275726,0.30013155937194824,0.48445484042167664,1.205148458480835,230.51583862304688
ETTm2,192,PFB-Projected,random,0.1,24,long_term_forecast_PFB-Projected_H192_ETTm2_192_PFB-Projected_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.2932091951370239,0.3524777591228485,0.5414879322052002,1.1617181301116943,191.2548370361328
ETTm2,192,PFB-Projected,random,0.2,24,long_term_forecast_PFB-Projected_H192_ETTm2_192_PFB-Projected_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.3761647641658783,0.4164382219314575,0.6133227348327637,1.1243937015533447,159.0797119140625
ETTm2,192,PFB-Projected,random,0.3,24,long_term_forecast_PFB-Projected_H192_ETTm2_192_PFB-Projected_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.49648332595825195,0.49426329135894775,0.7046157121658325,1.092197060585022,131.017822265625
ETTm2,192,PFB-Projected,block,0.1,24,long_term_forecast_PFB-Projected_H192_ETTm2_192_PFB-Projected_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.3350827991962433,0.3787197470664978,0.5788633823394775,1.1910520792007446,202.8605194091797
ETTm2,192,PFB-Projected,block,0.2,24,long_term_forecast_PFB-Projected_H192_ETTm2_192_PFB-Projected_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.44597315788269043,0.4430280029773712,0.6678122282028198,1.1940628290176392,190.36000061035156
ETTm2,192,PFB-Projected,block,0.3,24,long_term_forecast_PFB-Projected_H192_ETTm2_192_PFB-Projected_ETTm2_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.6495538949966431,0.5346998572349548,0.8059490919113159,1.2014920711517334,179.5471649169922
Weather,96,DLinear,clean,0.0,24,long_term_forecast_DLinear_Weather_H96_seed2021_DLinear_custom_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.17428497970104218,0.23393653333187103,0.41747453808784485,10.999564170837402,12440502.0
